owner_name,first_name,patronymic,last_name,declaration_year,office,position,url
Дамаскіна-Пісова Валентина Василівна,Петро,Васильович,Дамаскін,2018,Ренійська районна державна адміністрація Одеської області ,голова,https://declarations.com.ua/declaration/nacp_f9e070f6-c73b-4b14-8b99-3485b6e09298
Дамаскіна-Пісова Валентина Василівна,Петро,Васильович,Дамаскін,2018,Ренійська районна державна адміністрація Одеської області ,голова,https://declarations.com.ua/declaration/nacp_003a2d41-a0dd-48b3-9714-8f70ed395fdd
Миколаєнко Вікторія Олегівна,Ніна,Леонідівна,Лаукарт,2019,ГУ ДПС у м.Києві,Головний державний інспектор,https://declarations.com.ua/declaration/nacp_a5047539-00a8-4854-9727-81d1fe68d54d
Миколаєнко Вікторія Олегівна,Ніна,Леонідівна,Лаукарт,2018,ГУ ДФС у м.Києві,Головний державний інспектор,https://declarations.com.ua/declaration/nacp_3921d75f-2c31-44ed-b08a-d4f5c04aba66
Хеггі-молодша Анна Юріївна,Ганна,Юріївна,Шишко,2018,Центр медико санітарної допомоги ,"молодша медична сестра, депутат Команської сільської ради",https://declarations.com.ua/declaration/nacp_b6f60d32-c098-4e3b-829a-0937dea1a2e2
Хеггі-молодша Анна Юріївна,Ганна,Юріївна,Шишко,2019,Центр медико санітарної допомоги ,"молодша медична сестра, депутат Команської сільської ради",https://declarations.com.ua/declaration/nacp_85e47698-3b94-4921-9816-70b86d8de5a6
Хеггі-молодша Анна Юріївна,Людмила,Василівна,Костецька,2018,"КЗ ""СЦПМСД""",Медична молодша сестра,https://declarations.com.ua/declaration/nacp_9f375c18-b6cb-404a-bf53-4e4989320f59
Хеггі-молодша Анна Юріївна,Людмила,Василівна,Костецька,2019,КЗСЦПМСД,Медична молодша сестра,https://declarations.com.ua/declaration/nacp_169a2d75-239d-4b32-9a3f-57280d568c4e
Хеггі-молодша Анна Юріївна,Ганна,Юріївна,Шишко,2020,Центр медико санітарної допомоги ,"молодша медична сестра, депутат Команської сільської ради",https://declarations.com.ua/declaration/nacp_74bc4e8f-f1c6-4d75-9f8e-1f7ac8e65e30
Гайдук Олександр Миколайович,Наталія,Аркадіївна,Гайдук,2019,Фінансове управління Березнівської районної державної адміністрації,Заступник начальника управління - начальник відділу видатків місцевих бюджетів,https://declarations.com.ua/declaration/nacp_561c8dd1-b7e9-4b56-8baf-8b61ed4447d0
Гайдук Олександр Миколайович,Наталія,Аркадіївна,Гайдук,2019,Березнівська міська рада Рівненської області,Заступник міського голови з фінансових питань - головний бухгалтер,https://declarations.com.ua/declaration/nacp_fcae48a6-451e-4bd0-b6fe-c7ac1c4bd0e0
Гайдук Олександр Миколайович,Роман,Олександрович,Гайдук,2018,Краматорський міжрайонний відділ Управління поліції охорони в Донецькій області,поліцейський взводу охорони об'єктів та публічної безпеки,https://declarations.com.ua/declaration/nacp_973506d1-eb2e-427d-8092-84b60864bcca
Гайдук Олександр Миколайович,Наталія,Аркадіївна,Гайдук,2018,Фінансове управління Березнівської районної державної адміністрації,Заступник начальника управління - начальник відділу видатків місцевих бюджетів,https://declarations.com.ua/declaration/nacp_4d63c803-6ede-4de3-9e4a-ce84b43bd093
Гайдук Олександр Миколайович,Наталія,Аркадіївна,Гайдук,2020,Фінансове управління Березнівської районної державної адміністрації,Заступник начальника управління - начальник відділу видатків місцевих бюджетів,https://declarations.com.ua/declaration/nacp_cb671aa9-5a5c-48b6-944a-ed6656f909da
Гайдук Олександр Миколайович,Роман,Олександрович,Гайдук,2019,Краматорське міжрайонне відділення Маріупольського міжрайонного відділу Управління поліції охорони в Донецькій області,поліцейський взводу охорони об'єктів та публічної безпеки,https://declarations.com.ua/declaration/nacp_7fe19ca1-dd4c-4b42-966d-2a887b196832
Гайдук Олександр Миколайович,Надія,Василівна,Гайдук,2019,"ДП ""СК ""Ольвія""",тальман складського господарства,https://declarations.com.ua/declaration/nacp_983b3d81-d568-45da-875d-a1dda6131620
Гайдук Олександр Миколайович,Надія,Василівна,Гайдук,2019,ТОВ СП Нібулон,комплектувальник,https://declarations.com.ua/declaration/nacp_fa95c8fe-c8a7-443d-b0b2-a58a6af0b080
Гайдук Олександр Миколайович,Надія,Василівна,Гайдук,2018,"ДП ""СК ""Ольвія""",тальман складського господарства,https://declarations.com.ua/declaration/nacp_de556417-9980-44f9-b871-7ed6b8f88bef
Гайдук Олександр Миколайович,Роман,Олександрович,Гайдук,2019,Краматорське міжрайонне відділення Маріупольського міжрайонного відділу Управління поліції охорони в Донецькій області,поліцейський взводу охорони об'єктів та публічної безпеки,https://declarations.com.ua/declaration/nacp_0a627d71-5197-4fdf-8fdb-7783d6461942
Гайдук Олександр Миколайович,Надія,Вячеславівна,Бугіль,2019,Українська військово-медична академія,старший офіцер відділу особового складу та стройової,https://declarations.com.ua/declaration/nacp_a65886c0-b354-4d3f-b524-65ab309f945c
Гайдук Олександр Миколайович,Надія,Вячеславівна,Бугіль,2018,Українська військово-медична академія,старший офіцер відділу особового складу та стройової,https://declarations.com.ua/declaration/nacp_2b0f1030-47bd-476e-9df5-7fcd2859b3ef
Криштоп Олександр Олександрович,Андрій,Ігорович,Донець,2018,управління захисту економіки в миколаївській області,начальник відділу,https://declarations.com.ua/declaration/nacp_dfa58a19-eb0a-4fad-97ab-cdb0c3e13c5c
Криштоп Олександр Олександрович,Андрій,Ігорович,Донець,2018,управління захисту економіки в миколаївській області,начальник відділу,https://declarations.com.ua/declaration/nacp_dfa58a19-eb0a-4fad-97ab-cdb0c3e13c5c
Криштоп Олександр Олександрович,Андрій,Ігорович,Донець,2018,управління захисту економіки в миколаївській області,начальник відділу,https://declarations.com.ua/declaration/nacp_dfa58a19-eb0a-4fad-97ab-cdb0c3e13c5c
Калюжна Марина Миколаївна,Сергій,Миколайович,Калюжний,2019,Богуславське відділення поліції Миронівського відділу поліції ГУНП в Київській області,інспектор превенції,https://declarations.com.ua/declaration/nacp_8bfa305e-a7c1-456a-9f51-954319d6b89b
Калюжна Марина Миколаївна,Сергій,Миколайович,Калюжний,2018,Богуславське відділення поліції Миронівського відділу поліції ГУНП в Київській області,інспектор превенції,https://declarations.com.ua/declaration/nacp_ef5b2c4e-6fd6-4627-bb60-7dcee1627e93
Криштоп Олександр Олександрович,Андрій,Ігорович,Донець,2018,управління захисту економіки в миколаївській області,начальник відділу,https://declarations.com.ua/declaration/nacp_dfa58a19-eb0a-4fad-97ab-cdb0c3e13c5c
Криштоп Олександр Олександрович,Андрій,Ігорович,Донець,2018,управління захисту економіки в миколаївській області,начальник відділу,https://declarations.com.ua/declaration/nacp_dfa58a19-eb0a-4fad-97ab-cdb0c3e13c5c
Кузнєцов Олександр Дмитрович,Ірина,Олександрівна,Чурічканіч,2018,"виробничий структурний підрозділ ""Ужгородська дистанція колії"" РФ ""Львівська залізниця"" АТ ""Українська залізниця""",заступник начальника,https://declarations.com.ua/declaration/nacp_e6eb275d-4bac-44af-a701-e94f451cccb6
Кузнєцова Наталя Григорівна,Володимир,Васильович,Свистунов,2018,Роздільнянське об'єднане управління Пенсійного фонду Україниі Одеської області,головний спеціаліст Роздільнянського відділу обслуговування громадян,https://declarations.com.ua/declaration/nacp_8ebbd117-7e48-44a4-ab12-a6ce0e2b5a4e
