owner_name,first_name,patronymic,last_name,declaration_year,office,position,url
Карплюк Сергій Миколайович,Дмитро,Васильович,Рашин,2019,Головне управління ДПС у Житомирській області,Головний державний ревізор-інспектор відділу контрольно-перевірочної фізичних осіб управління податків і зборів з фізичних осіб,https://declarations.com.ua/declaration/nacp_27e62ebc-36d9-4014-81af-9f63b55f1c60
Карплюк Сергій Миколайович,Дмитро,Васильович,Рашин,2018,Головне управління ДФС у Житомирській області,Головний державний ревізор-інспектор відділу контрольно-перевірочної фізичних осіб управління податків і зборів з фізичних осіб,https://declarations.com.ua/declaration/nacp_1219ce3d-c84f-4875-ab0e-ed4e185d4d46
Демидюк Микола Миколайович,Микола,Миколайович,Демидюк,2018,ДЕРЖАВНЕ ПІДПРИЄМСТВО 'ВЕРХОВИНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО',Лісничий Буркутського лісництва,https://declarations.com.ua/declaration/nacp_58582a88-48c9-4105-aea8-6ec8d576b6dd
Демидюк Микола Миколайович,Микола,Миколайович,Демидюк,2019,ДЕРЖАВНЕ ПІДПРИЄМСТВО 'ВЕРХОВИНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО',Лісничий Буркутського лісництва,https://declarations.com.ua/declaration/nacp_7edf75aa-cc4f-4624-8ed9-e0ad0195bd09
Демидюк Микола Миколайович,Дар'я,Володимирівна,Смаль,2018,Волинська обласна рада,Консультант-бухгалтер відділу фінансово-господарського забезпечення діяльності ради,https://declarations.com.ua/declaration/nacp_c58a216b-1005-43d4-a6e8-a1c692b65929
Демидюк Микола Миколайович,Юрій,Олегович,Смаль,2018,Локачинський ВП Горохівського ВП ГУНП у Волинській області,Інспектор СРПП №2,https://declarations.com.ua/declaration/nacp_35f211b4-98f3-493e-9998-366e2b1977b6
Демидюк Микола Миколайович,Дар'я,Володимирівна,Смаль,2019,Волинська обласна рада,Консультант-бухгалтер відділу фінансово-господарського забезпечення діяльності ради,https://declarations.com.ua/declaration/nacp_5d87c433-5559-4d16-a917-a1e6eb28cd5d
Демидюк Микола Миколайович,Юрій,Олегович,Смаль,2019,Локачинський ВП Горохівського ВП ГУНП у Волинській області,Інспектор СРПП №2,https://declarations.com.ua/declaration/nacp_385df1a7-5eb2-4405-adea-a46dab1bbf37
Масюк Руслан Олександрович,Віктор,Ничипорович,М'ялик,2019,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_e9d07eea-3483-4578-aa6a-f297e23f04ed
Масюк Руслан Олександрович,Віктор,Ничипорович,М'ялик,2019,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_271eb607-ad9a-439f-a7ad-9966cec528e3
